"Adugs vahvel 3,5kg";Vahvel;1000
"Adugs vahvel 3,5kg";Vahvel;1000
"ALMA Piim * 3.5%* 1,0 kilep.";Piim 3,5 %;1000
"ALMA Piim 2,5% 1,0 kilep.";Piim 2,5%;1000
Ruks viil 800g 6 Leibur;Leib (keskmiselt);1000
"Frikadellid ca7,5kg külm. RLK";Frikadellid;1000
"ALMA keefir 2,5% 1,0 kilep.";Keefir 2,5%;1000
"Merevaik nat.18,5% 200g";Sulatatud juust (keskmise rasvasusega);200
"ALMA Mait.-ta jogurt / 5,0 /2,5% lakt.vaba";Jogurt 2,2% (maitsestamata);1000
VANAEMA KÖÖK Sea guljašš 1kg(külmut.);Sealiha (keskmiselt);1000
EESTI SAI Õunapüreetäidisega saiakesed 10x55g(külmut.);Saiake;1000
FAZER Kodusai 320g;Sai (keskmiselt);1000
ALMA Piim 2,5% 1l(kile);Piim 2,5%;1000
ALMA Maitsestamata jogurt 2,5% 1kg(kile);Jogurt 2,2% (maitsestamata);1000
FROZANA Marjasegu 2,5kg;Marjad (külmutatud);2500
TARPLAN Provansaal majonees 50% 430g(tops);Majonees 40,5%;430
FELIX Tomatiketšup 1kg;Ketšup;1000
NORDIC Viieviljahelbed 600g;Viieviljahelbed;600
TARTU MILL Pikateraline riis 3kg;Riis;3000
TARTU MILL Pikateraline riis 1kg;Riis;1000
TARTU MILL Pikateraline sõmer riis 3kg(eelkeedetud);Riis;3000
TARTU MILL Fusilli 100% durum 5kg(spiraalid);Makaronid;5000
HALJAS Hirss 1kg;Hirsitangud;1000
LEIBUR Kirde sai 330g(viil);Sai (keskmiselt);1000
PJ Kartul punane Laura kg;Kartul;1000
PJ Pirn Conference väike kg;Pirn;1000
LINNU TALU Kanamunad 30tk. M(rest);Muna;30000
TRANSPORDIKAST (KAUPMEES);!!!ÄRA SISESTA ANCsse!!!;1000
VALIO Plastkast (tagastatav);!!!ÄRA SISESTA ANCsse!!!;1000
LEIBURI KAST;!!!ÄRA SISESTA ANCsse!!!;1000
Kodune sepik viil 300g 8/4 Leibur;Sepik;1000
"Alma koh.kreem metsmaasika /5,0/ 2,5%";Emma kohupiimakreem;5000
Külm. Broileriliha guljass 2kg Vanaema;Sealiha (keskmiselt);1000
Charlotta tort 1,4kg(kohupiima - ananassi);Tort;1400
Singi - juustukringel 1,5kg;Kringel;1500
Kooritud sibul;Sibul;1000
Isa peenleib viil 730g 8 Leibur;Leib (keskmiselt);1000
Lastevorst viil ca2,5kg map RLK;Vorst keedu (keskmiselt);1000
Kamajahu 400gx14 Tartu Mill;Kamajahu;400
Hernes koorit.kollane 1kg Veski Mati;Hernes (kuivatatud);1000
OHO Hommikusöök Kolm sõpra 500g;Teraviljahelbed;500
"Suhkur 1,0";Suhkur;1000
Alma 20% TOIDUKOOR 1 liiter;Hapukoor 20%;1000
Sea kuubik 24x24 mm  Nõo  külm.;Sealiha (keskmiselt);1000
ALMA TOIDUKOOR 20% 400ml;Hapukoor 20%;400
"Dr.Hellus Haps Maasika 1,0 TPT";Haps;1000
Pizzakate laht.;Sink (sea, keedu);1000
Nisuhelbed 500g Läti/Haljas;Nisuhelbed;500
Maasikad 2,5kg Iglotex-18c;Maasikas;2500
Alma ban.-maasika joogijogurt 1kg kile;Joogijogurt 2,5%;1000
Kirde sai viil 330g 8 Leibur;Sai (keskmiselt);1000
VIINER Lemmik ca1.3kg SLT;Viiner;1000
MAASIKAmoos;Moos (keskmiselt);3200
VAARIKAmoos;Moos (keskmiselt);3200
MUNGA moos;Moos (keskmiselt);3200
APELSINImarmelaad;Moos (keskmiselt);3200
ÕUNAmoos *;Moos (keskmiselt);3200
MUSTSõSTRAmoos;Moos (keskmiselt);3200
VAARIKAS PET;Mahlakonsentraat (keskmiselt);2000
MUSTSõSTAR PET;Mahlakonsentraat (keskmiselt);2000
KIRSS PET;Mahlakonsentraat (keskmiselt);2000
õUN PET;Mahlakonsentraat (keskmiselt);2000
TROOPILINE konts. mahl suhkruga PET;Mahlakonsentraat (keskmiselt);2000
APELSIN konts. mahl suhkruga PET;Mahlakonsentraat (keskmiselt);2000
SUVI PET;Mahlakonsentraat (keskmiselt);2000
DIETA Leivavorm 30x11x7cm (Gnali);!!!ÄRA SISESTA ANCsse!!!;1000
SAAREMAA k/s Peekon kg;Suitsusink (sealihast);1000
KAARLI Maasuitsu peekon kg;Suitsusink (sealihast);1000
PÕLTSAMAA Piknikukurk 8,2kg(viilud);Kurk (konserveeritud);8200
VESKI MATI Eriti hea nisujahu 2kg;Nisujahu;2000
PJ Õun Golden kg;Õun;1000
GREENFIELD Summer Bouquet ürditee 25x1,5g;Teepuru;38
NORDIC Kartulitärklis 500g;Kartulitärklis;500
